"","model_name","AIC","logLik"
"1","grassland_250",2577.50579488029,-1285.75289744014
"2","grassland_500",2577.16480103166,-1285.58240051583
"3","grassland_750",2568.24274430675,-1281.12137215338
"4","grassland_1000",2581.06624709012,-1287.53312354506
"5","grassland_1250",2581.44674224575,-1287.72337112287
"6","grassland_1500",2580.85180543949,-1287.42590271975
"7","grassland_1750",2582.45632929801,-1288.228164649
"8","grassland_2000",2587.30606223341,-1290.6530311167
"9","grassland_2250",2584.51338657618,-1289.25669328809
"10","grassland_2500",2585.00309884363,-1289.50154942181
"11","grassland_2750",2587.6443236966,-1290.8221618483
"12","grassland_3000",2588.18127093039,-1291.0906354652
"13","grassland_3250",2590.09059018993,-1292.04529509497
"14","grassland_3500",2590.56156442144,-1292.28078221072
"15","grassland_3750",2590.28053929975,-1292.14026964987
"16","grassland_4000",2590.13446584109,-1292.06723292054
"17","grassland_4250",2589.69570651554,-1291.84785325777
"18","grassland_4500",2589.06775094689,-1291.53387547344
"19","grassland_4750",2588.89266599583,-1291.44633299791
"20","grassland_5000",2589.24499546314,-1291.62249773157
